region,child_mortality_percent,general_morbidity,congenital_malformation,psychosis,teenage_pregnancy,poverty_percent,welfare_expense_share,real_incomes,real_pay,living area,bad conditions,no funds,population,grp,reg_prod_total,retail,newborn_per_population,disabled_percent,all crimes,alco,drug
Кировская область,0.31967720310777037,74475.5,4.6839813664123815,446.1,2.4159137783010487,14.0,27.6,4.593097604753822,104.1,2.766319109226186,1.252762968495368,0.6540944532962444,14.048527605496778,12.660819542972058,6.186170986925206,12.002884896054834,0.6104035235198743,1.3002535334636205,8.996528148090857,56.4,1.62924053973028
Костромская область,0.5752021547383248,71386.8,4.911919321157098,446.5,2.990719731730447,12.5,22.5,4.5880240271531205,98.6,2.740840023925201,0.9162907318741551,0.0,13.35883530990587,12.688352487775823,6.31397148670771,12.09842061747324,0.6167399934545886,1.436875255959872,8.108021221376747,61.1,2.2925347571405443
Краснодарский край,0.32806841878651,67335.5,5.000584958242754,277.7,1.9315214116032138,10.4,25.7,4.619073091157083,103.2,2.9496883350525844,0.7884573603642703,0.5795304537729778,15.551662703906876,13.040548366796019,5.951102140475484,12.475557651083594,0.71476364160437,1.3458755160800366,9.889033595565978,18.3,1.589235205116581
Красноярский край,0.42386756446985013,78434.8,5.1149953094204985,565.5,1.8718021769015913,17.0,24.8,4.613138355637268,105.5,2.8678989020441064,1.0296194171811581,0.8139035691957275,14.868517206479579,13.765915504958713,7.492814962260444,12.19039539714487,0.6987563553581663,1.3059926801144164,9.818963987465475,69.1,2.766319109226186
Курганская область,0.4819291408422664,96602.5,5.666772649022301,835.3,1.7227665977411035,19.3,26.1,4.593097604753822,104.3,2.8735646395797834,1.4350845252893227,0.12266001273588753,13.62576188832351,12.592915429510244,5.8939060231534475,11.900450609945727,0.6408675352804067,1.4179174154842673,8.843470781627381,77.8,3.1570004211501135
Курская область,0.3791082863331608,54094.0,4.945207488773801,398.4,0.0,9.9,23.2,4.593097604753822,105.3,2.89591193827178,0.47000362924573563,0.5673571745016456,13.914458657959862,13.096084492348773,6.532758031976828,12.24112603358756,0.601725597771752,1.7433165248630227,8.561210076833012,51.3,1.824549292051046
Ленинградская область,0.33070560652895603,66653.9,4.827513417131532,457.1,1.824549292051046,8.7,16.7,4.623010104116422,101.1,2.8903717578961645,1.3862943611198906,1.5750120854190832,14.444584709028602,13.402007632981622,7.2328640931301305,12.45155286564563,0.5348806189925671,1.1526139663417694,8.499029220788566,35.3,2.2617630984737906
Липецкая область,0.3168354431462322,66621.8,4.110873864173311,468.1,1.5686159179138452,8.4,22.3,4.563305981889393,103.3,2.8622008809294686,0.1823215567939546,0.4748045861867772,13.945987791389108,13.210653153560084,7.221774615268346,12.373927563287054,0.6010599422853937,1.5089224140150213,8.4252971767117,68.6,1.9021075263969205
Магаданская область,0.26575390011316924,67012.9,5.31762967758041,444.8,0.0,8.7,11.1,4.6568134191399295,105.0,2.6946271807700692,0.1823215567939546,0.0,11.850468556592935,14.526010308055037,8.24860616576083,12.412346703701377,0.6614364595379408,1.0390842607386435,6.899723107284872,127.0,1.9740810260220096
Москва,0.3106427037123641,64633.3,5.018603463745433,276.2,0.0,6.0,17.5,4.617098756853365,103.1,2.6946271807700692,0.4054651081081644,1.6284559182698621,16.355385075949897,14.265085561517713,7.34213880832855,12.920675498119408,0.6802198031868077,1.1548001656349827,9.723702775394143,23.1,2.272125885509337
Московская область,0.27076824893476986,70054.0,4.511957804265912,423.5,1.5686159179138452,6.8,19.4,4.593097604753822,101.8,2.760009940032921,0.6931471805599453,0.6714126884139391,15.855543688876734,13.43548817128839,6.821380367691653,12.758712731157738,0.7073381006562214,1.0575770656796666,9.995610841411933,37.7,2.4849066497880004
Мурманская область,0.32623641524323377,87319.0,4.294560608892605,449.0,3.0633909220278057,10.1,22.8,4.619073091157083,105.1,2.928523523860541,1.2237754316221157,1.0467223250808206,13.51630231367387,13.885351962678394,7.909545703476356,12.400178658721089,0.6281564420114208,0.9375858603938768,8.302513718514158,48.3,1.9740810260220096
Ненецкий автономный округ,0.5148578872939291,138231.7,6.750048282952101,903.3,0.0,9.4,14.4,4.625952725170619,101.4,3.086486636822455,1.9315214116032138,0.0,10.694487133263578,15.465377702997763,9.386262555953813,12.329205788250766,0.8529687027952101,1.2947635011758098,5.598421958998375,181.8,1.1939224684724346
Нижегородская область,0.380463805902747,91127.3,6.024415647247668,330.7,1.6486586255873816,9.4,22.2,4.566429357671661,102.8,2.917770732084279,0.4054651081081644,0.15460771822643884,14.979581881467192,13.117189214480597,6.843882253703696,12.375853394079792,0.6222982903836295,1.2758074143501708,9.498597279178806,44.4,2.0794415416798357
Новгородская область,0.3431163920807833,88536.3,4.897839799950911,408.0,2.70805020110221,13.6,25.3,4.582924577040772,102.4,2.9231615807191558,0.3364722366212129,0.0,13.298849608419696,13.06332288768782,6.659416382225388,12.228557945749245,0.5983421471758589,1.4004334719148783,8.14757773620177,55.2,2.341805806147327
Новосибирская область,0.44990431841450684,77378.7,4.842611042003125,339.4,1.410986973710262,13.8,25.4,4.613138355637268,102.9,2.8507065015037334,1.0296194171811581,0.8620457170217594,14.844476547422314,13.09392768823512,6.22861470190362,12.1911062050079,0.7088074459425986,1.2580458188394243,9.51951481976606,33.8,3.0726933146901194
Омская область,0.4636633473511525,85381.7,5.549465114271844,394.1,2.4423470353692043,13.6,29.0,4.5880240271531205,103.7,2.884800712846709,0.5877866649021191,0.2404332198511704,14.47130160595963,12.895819050000698,6.878244279933784,12.13226462838545,0.6543420215500385,1.271557694235365,9.230535079261703,29.9,2.163323025660538
Оренбургская область,0.3129200050416436,79188.8,5.7804348261772835,677.8,3.1986731175506815,14.0,26.6,4.592084946439436,103.8,2.995732273553991,1.0296194171811581,0.8211005448704061,14.486839441129298,13.197420570334003,6.803716628506003,12.040118410356209,0.6727980369859239,1.3886034618426575,9.316320695513415,93.6,1.547562508716013
Орловская область,0.4545181734628579,94883.0,5.757007235893499,604.7,2.5416019934645457,12.9,25.0,4.601162164590552,103.7,2.9856819377004897,0.8754687373538999,0.0,13.505581513237727,12.874340896143748,6.015838315711556,12.18064201066835,0.5776633124748833,1.3682060010938146,7.839131648274333,90.3,1.6863989535702288
Пензенская область,0.3681068149428861,73083.1,4.32280727501391,843.3,1.5040773967762742,13.0,22.4,4.619073091157083,102.9,2.884800712846709,0.1823215567939546,0.0,14.082145689282411,12.847456421217949,6.110047665878279,12.050984860089908,0.5539658343797035,1.2519512760074736,8.595449689382004,129.8,1.9740810260220096
Пермский край,0.3826307441400513,94982.5,6.2675799831882975,661.2,3.858622228701031,13.3,23.0,4.565389315976247,103.7,2.833213344056216,0.9162907318741551,1.1970388197230062,14.770737731821258,13.202894335095193,7.051767056618329,12.274492686314275,0.6841892550882736,1.2604443766693092,9.594854193331415,95.3,2.5416019934645457
Приморский край,0.42266589815661837,72917.4,5.146912912388804,661.8,3.4531571205928664,13.0,23.5,4.583946549536464,103.1,2.8154087194227095,1.2237754316221157,1.057651395613011,14.455187866583081,13.275859614559261,5.894922154983523,12.347481057816506,0.669160775957593,1.1998354889693261,9.306014122044465,64.1,3.597312260588446
Псковская область,0.3367581960169276,70723.5,4.45898767581001,406.1,0.0,16.2,24.7,4.613138355637268,103.9,2.772588722239781,0.09531017980432493,0.0,13.347290936430037,12.693611013728846,6.124472151173332,12.21064716643656,0.5865507716389065,1.3591182422572565,8.128880142125638,85.9,1.7227665977411035
Республика Адыгея,0.2752694550750845,66252.3,4.671893818030999,267.3,0.0,12.5,20.2,4.628886712605407,102.9,3.0252910757955354,1.5040773967762742,0.0,13.045674539217616,12.641695405659767,5.577862486018291,12.352110505246882,0.6698940783143051,1.4040778867585835,7.457609289715606,52.5,1.8082887711792655
Республика Алтай,0.5564684666108617,89433.5,5.483966713434666,241.7,0.0,23.8,19.8,4.658710952916121,105.5,2.7343675094195836,1.7578579175523736,0.3836284134989898,12.302209756060295,12.554799486818386,4.383673331317059,11.815634071438632,0.8510384218818194,1.5553883027816797,7.804659297056102,71.1,2.322387720290225
Республика Башкортостан,0.4561268286413109,84448.9,4.820281565605037,376.7,1.547562508716013,11.6,22.4,4.565389315976247,102.5,2.91235066461494,0.4054651081081644,0.6887374720712452,15.211297719543689,12.960225551747847,6.6410148846961565,12.331347546944853,0.7029854525769114,1.1659149453322304,9.800900963761027,56.4,2.0014800002101243
Республика Бурятия,0.4361567238718793,61456.1,4.398146016553765,235.3,1.4586150226995167,19.9,25.5,4.603168183317418,102.2,2.9014215940827497,1.4350845252893227,1.1352656063161453,13.801348751283179,12.636424818866285,5.882533160986848,12.20481185106275,0.8241757276718776,1.4724142891936827,8.99230873254815,48.9,1.4816045409242156
Республика Дагестан,0.5197650344232317,80693.8,5.262690188904886,297.8,0.0,14.8,28.3,4.58700621536042,111.6,3.1570004211501135,0.5877866649021191,0.7884573603642703,14.950409451805402,12.386900170146994,3.7944919122457796,12.145929782649265,0.9142716307581337,2.0871545196185015,8.485083137498004,13.6,2.312535423847214
Республика Ингушетия,0.44170614275530173,60547.7,4.028916756899646,106.0,0.0,30.0,32.5,4.612145799724517,104.3,3.3603753871419,0.0,0.0,13.136388563065198,11.864994718983324,2.8832217364557597,10.833957285583553,0.9817150951327619,2.2564231180044403,5.805134968916488,0.2,1.308332819650179
Республика Калмыкия,0.25355658168659573,71872.7,4.651099117876491,354.8,0.0,22.7,24.3,4.638604962074329,107.6,3.054001181677967,0.0,0.0,12.51037581899819,12.75110866327515,3.7569840254002673,11.362137458348153,0.7042695622171715,1.5967141594691758,7.2078598714324755,58.1,0.5306282510621704
Республика Карелия,0.36630337891767367,112365.5,6.094246741751008,691.2,3.490428515390098,15.1,24.2,4.623010104116422,104.1,2.89591193827178,1.4816045409242156,1.7370392570278221,13.32785606471835,13.165894594664179,6.6849513562011165,12.3308092269315,0.6133755805092466,1.3397129260825893,8.47886807709457,78.1,1.8082887711792655
Республика Коми,0.21316787695087958,111709.0,5.703449085754963,639.0,3.763522997109702,15.3,22.7,4.59511985013459,102.1,2.803360380906535,2.2823823856765264,2.0266471211660186,13.617637501015082,13.526788344753598,7.192956812238864,12.214417728265673,0.6540787582012577,1.4111456144050718,8.848652886213905,107.5,2.4595888418037104
Республика Крым,0.4321705473323742,52086.6,5.110782242701195,286.7,0.0,17.2,15.5,4.61015772749913,101.5,2.995732273553991,0.5306282510621704,0.20701416938432612,14.46398615634028,12.507527437162326,5.19391049626686,11.905453920936553,0.6863738743663261,1.4015533607903075,8.864322722511439,57.6,2.747270914255491
Республика Марий Эл,0.3830333124297961,93490.3,5.319099905730565,662.5,0.0,19.5,22.4,4.598145571051127,103.8,2.8622008809294686,1.0296194171811581,1.0479503738658817,13.428991828322925,12.580405811327227,6.172178691023511,11.810753393713288,0.6818854327415248,1.430928648444971,7.803435056952168,73.7,1.3609765531356006
